precinct,pct_obama,pct_romney,total_votes,pct_hisp,county
M013,0.75,0.246527778,288,0.24168798,broward
Z073,0.75,0.25,8,0.094064386,broward
Q051,0.755102041,0.244897959,98,0.319543509,broward
Q081,0.763793103,0.217241379,580,0.342213115,broward
D007,0.767503303,0.22324967,757,0.08713355,broward
V049,0.767732962,0.221140473,719,0.435953421,broward
X009,0.768138801,0.223974763,634,0.200134544,broward
M011,0.769417476,0.22815534,412,0.222527473,broward
D013,0.77173913,0.21557971,552,0.11701364,broward
H007,0.774131274,0.223938224,518,0.103541013,broward
H010,0.775793651,0.220238095,504,0.3,broward
H006,0.776666667,0.215,600,0.16893733,broward
X002,0.778135048,0.215434084,311,0.339673913,broward
V045,0.779220779,0.216450216,462,0.465762712,broward
J019,0.780287474,0.207392197,487,0.228775456,broward
V043,0.782051282,0.217948718,312,0.405,broward
E001,0.782178218,0.217821782,202,0.186440678,broward
H001,0.783681214,0.212523719,527,0.153169659,broward
C022,0.783783784,0.207207207,111,0.071601942,broward
R031,0.785942492,0.21086262,313,0.125061305,broward
W018,0.786355476,0.208258528,557,0.453178401,broward
G013,0.787878788,0.203463203,231,0.133802817,broward
V023,0.791044776,0.199004975,201,0.229871645,broward
D016,0.79245283,0.179245283,106,0.261301989,broward
X025,0.792517007,0.188208617,882,0.397653194,broward
X026,0.793969849,0.198492462,398,0.3642092,broward
X029,0.799058085,0.19466248,637,0.346868365,broward
L015,0.805825243,0.182847896,618,0.005882353,broward
H008,0.81,0.1825,400,0.173656232,broward
R041,0.810741688,0.181585678,391,0.111111111,broward
D014,0.810909091,0.174545455,275,0.268786127,broward
H004,0.811279826,0.182212581,461,0.143472023,broward
Q082,0.811463047,0.171945701,663,0.0704154,broward
H011,0.811594203,0.15942029,69,0.329068941,broward
X028,0.8125,0.1875,16,0.439247312,broward
W006,0.814268143,0.184501845,813,0.274158912,broward
K009,0.817610063,0.182389937,159,0.066229117,broward
M016,0.821256039,0.178743961,414,0.292647059,broward
W010,0.823529412,0.172268908,476,0.294881589,broward
C028,0.825174825,0.167832168,143,0.045165607,broward
L010,0.826086957,0.169565217,230,0.106319385,broward
J008,0.826415094,0.169811321,265,0.1625,broward
H005,0.829302987,0.159317212,703,0.105940594,broward
V048,0.835403727,0.152173913,322,0.388657214,broward
S002,0.841292135,0.148876404,712,0.059574468,broward
L002,0.842622951,0.154098361,305,0.022760646,broward
M005,0.847750865,0.141868512,289,0.204009434,broward
D015,0.848101266,0.151898734,79,0.173003802,broward
M024,0.850649351,0.142857143,154,0.254083485,broward
L016,0.852130326,0.140350877,399,0.012,broward
W011,0.856729378,0.140376266,691,0.193765796,broward
W008,0.857142857,0.137566138,378,0.209425626,broward
V026,0.857549858,0.131054131,351,0.327459618,broward
W002,0.858267717,0.137795276,508,0.221538462,broward
R045,0.860342556,0.123847167,759,0.119927317,broward
N001,0.860788863,0.127610209,431,0.089990817,broward
W015,0.861035422,0.138964578,367,0.407709414,broward
W016,0.861861862,0.133633634,666,0.421841542,broward
H003,0.861888112,0.131118881,572,0.139481924,broward
V025,0.863216266,0.129390018,541,0.068473609,broward
W007,0.868556701,0.12371134,388,0.230769231,broward
W017,0.868954758,0.121684867,641,0.450226784,broward
M004,0.8725,0.1175,400,0.101078167,broward
H002,0.872696817,0.120603015,597,0.121327014,broward
W004,0.875,0.12037037,432,0.133128834,broward
M006,0.879177378,0.115681234,389,0.200383509,broward
W001,0.88034188,0.111111111,234,0.13691868,broward
N002,0.884782609,0.110869565,460,0.076473453,broward
L017,0.887596899,0.112403101,258,0.015518914,broward
W005,0.888594164,0.111405836,377,0.117788462,broward
R068,0.892045455,0.107954545,352,0.093234323,broward
D010,0.892156863,0.102941176,204,0.170786517,broward
K005,0.899598394,0.100401606,249,0.026385224,broward
W012,0.904079383,0.09261301,907,0.211122554,broward
C007,0.913207547,0.08490566,530,0.076208178,broward
W013,0.916,0.08,250,0.168135436,broward
L005,0.916030534,0.076335878,262,0.02510216,broward
K006,0.917274939,0.080291971,411,0.041901188,broward
R032,0.917431193,0.073394495,327,0.088148148,broward
R037,0.91875,0.077083333,480,0.044334975,broward
A024,0.923245614,0.074561404,456,0.146983857,broward
L009,0.923664122,0.064885496,262,0.108886719,broward
W003,0.926640927,0.073359073,259,0.25074184,broward
M003,0.93006993,0.062937063,286,0.078806907,broward
W009,0.931734317,0.066420664,542,0.397615132,broward
K004,0.931818182,0.061688312,308,0.034153005,broward
