precinct,pct_trump,pct_clinton,total_votes,pct_hisp,county
522,0.067132116,0.918367347,1862,0.222065064,miami-dade
523,0.116120219,0.867486339,732,0.584297521,miami-dade
524,0.291666667,0.672169811,1272,0.604723431,miami-dade
526,0.345070423,0.643192488,426,0.843492586,miami-dade
527,0.279661017,0.694915254,236,0.857971014,miami-dade
528,0.225490196,0.753676471,816,0.800155521,miami-dade
529,0.158273381,0.825282631,1946,0.699876999,miami-dade
530,0.258992806,0.701438849,278,0.385869565,miami-dade
531,0.118287373,0.859941945,1378,0.37995992,miami-dade
532,0.142585551,0.819391635,526,0.174100719,miami-dade
533,0.05465368,0.928030303,1848,0.143497758,miami-dade
534,0.226713533,0.732864675,1138,0.36775483,miami-dade
535,0.148244473,0.825747724,769,0.670111288,miami-dade
536,0.178640777,0.784466019,515,0.485819975,miami-dade
537,0.186582809,0.79245283,477,0.574029126,miami-dade
538,0.156353959,0.809381238,3006,0.505497315,miami-dade
540,0.181818182,0.818181818,11,0.444444444,miami-dade
541,0.291666667,0.674621212,2640,0.413921512,miami-dade
542,0,1,2,0.375,miami-dade
543,0.259451062,0.707923356,1931,0.83820151,miami-dade
544,0.236631016,0.734402852,2244,0.372289973,miami-dade
545,0.331643431,0.644275454,2367,0.827555556,miami-dade
546,0.262340037,0.699268739,1094,0.312772134,miami-dade
547,0.394495413,0.574923547,327,0.850505051,miami-dade
548,0.474825716,0.49883811,1291,0.877202349,miami-dade
549,0.435483871,0.541935484,1240,0.887541345,miami-dade
550,0.469152542,0.503728814,1475,0.865793041,miami-dade
551,0.364739472,0.608137045,1401,0.879293425,miami-dade
552,0.503015682,0.475271411,829,0.876480541,miami-dade
553,0.504950495,0.46039604,1212,0.875933372,miami-dade
554,0.513355593,0.467445743,1198,0.864976415,miami-dade
556,0.414214325,0.56191005,1801,0.882352941,miami-dade
557,0.493723849,0.481171548,2151,0.875209661,miami-dade
558,0.426470588,0.547058824,1020,0.885409727,miami-dade
559,0.522900763,0.46278626,1048,0.858103564,miami-dade
560,0.444328824,0.524453694,961,0.859583952,miami-dade
561,0.360212853,0.600491199,2443,0.745493431,miami-dade
563,0.284559418,0.687146322,1237,0.696394687,miami-dade
564,0.30104712,0.678664921,1528,0.863915716,miami-dade
565,0.329572925,0.626107977,1241,0.81097561,miami-dade
566,0.281470292,0.68429003,1986,0.710253662,miami-dade
567,0.422018349,0.543730887,1635,0.726102941,miami-dade
568,0,1,1,1,miami-dade
569,0.333225806,0.636451613,3100,0.567985794,miami-dade
570,0.398373984,0.575018477,1353,0.793244626,miami-dade
571,0.314102564,0.647435897,312,0.701456311,miami-dade
572,0.433962264,0.532075472,1060,0.801369863,miami-dade
573,0.442848937,0.52268811,1741,0.787510841,miami-dade
574,0.415584416,0.541322314,1694,0.839347079,miami-dade
575,0.442792793,0.527477477,2220,0.863356053,miami-dade
576,0.426046512,0.544651163,2150,0.802536853,miami-dade
577,0.335797254,0.627243928,1894,0.746130031,miami-dade
578,0.395932203,0.562711864,1475,0.817483189,miami-dade
579,0.412006579,0.545230263,2432,0.722274584,miami-dade
580,0.086956522,0.891304348,138,0.269607843,miami-dade
581,0.318903319,0.666666667,1386,0.901429276,miami-dade
582,0.330026455,0.633597884,3024,0.339602364,miami-dade
583,0.205072464,0.745652174,1380,0.353007307,miami-dade
584,0.154209284,0.818253344,1271,0.285002767,miami-dade
585,0.043165468,0.93705036,556,0.066505441,miami-dade
586,0.246206897,0.713103448,1450,0.28815427,miami-dade
587,0.26183844,0.698607242,1795,0.244942832,miami-dade
588,0.277777778,0.666666667,18,0.833333333,miami-dade
589,0.1125,0.8625,80,0.773584906,miami-dade
591,0.221656977,0.764534884,1376,0.798208392,miami-dade
592,0.328493648,0.641560799,1102,0.783704572,miami-dade
593,0.312908983,0.663890541,1681,0.867743176,miami-dade
594,0.269946809,0.699468085,752,0.837678722,miami-dade
595,0.28125,0.701704545,352,0.855481728,miami-dade
596,0.399764151,0.578419811,1696,0.85778139,miami-dade
597,0,1,4,1,miami-dade
598,0.241721854,0.731788079,302,0.762863535,miami-dade
599,0.193396226,0.773584906,424,0.364485981,miami-dade
601,0.455810717,0.512874043,1437,0.590724638,miami-dade
602,0.437764606,0.526672312,1181,0.585024493,miami-dade
603,0.364238411,0.605960265,302,0.670951157,miami-dade
604,0.291525424,0.663276836,1770,0.541474654,miami-dade
606,0.302891933,0.654490107,1971,0.410633947,miami-dade
607,0.423152387,0.533682145,1529,0.515541265,miami-dade
608,0.481481481,0.472839506,1620,0.531842489,miami-dade
609,0.368462758,0.590332805,1262,0.506078055,miami-dade
